id,title,description,link,condition,price,sale_price,availability,image_link,gtin,mpn,brand,google product category
6515,Almanya 1921 Yılı 25 Pfennig Eisfeld Şehri Notgeld Çil,,https://numismat.net/almanya-1921-yili-25-pfennig-eisfeld-sehri-notgeld-cil,Used,35.00004,35.00004,out_of_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/29.jpg,,,,
6516,Almanya 1922 Yılı 25 Pfennig Stettin Şehri Notgeld Çil (-),,https://numismat.net/almanya-1922-yili-25-pfennig-stettin-sehri-notgeld-cil-1,Used,30 TRY,30 TRY,out_of_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/30.jpg,,,,
6517,Almanya 1921 Yılı 25 Pfennig Preetz Şehri Notgeld Çilaltı,,https://numismat.net/almanya-1921-yili-25-pfennig-preeth-sehri-notgeld-cilalti,Used,30 TRY,30 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/31.jpg,,,,
6520,Almanya 1921 Yılı 50 Pfennig Hildburghausen Şehri Notgeld Çil,,https://numismat.net/almanya-1921-yili-50-pfennig-hildburghausen-sehri-notgeld-cil,Used,30 TRY,30 TRY,out_of_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/34.jpg,,,,
6522,Almanya 1921 Yılı 25 Pfennig Nordhausen Şehri Notgeld Çil,,https://numismat.net/almanya-1921-yili-25-pfennig-nordhausen-sehri-notgeld-cil-1,Used,30 TRY,30 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/36.jpg,,,,
6523,Almanya 1920 Yılı 10 Pfennig Wilhelmshaven Şehri Notgeld ÇÇT,,https://numismat.net/almanya-1920-yili-10-pfennig-wilhelmshaven-sehri-notgeld-cct-1,Used,30 TRY,30 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/37.jpg,,,,
6524,Almanya 1921 Yılı 10 Pfennig Herzogtum Lauenburg Şehri Notgeld Çil,,https://numismat.net/almanya-1921-yili-10-pfennig-herzogtum-lauenburg-sehri-notgeld-cil-1,Used,30 TRY,30 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/38.jpg,,,,
6525,Almanya 1921 Yılı 20 Pfennig Herzogtum Lauenburg Şehri Notgeld Çil,,https://numismat.net/almanya-1921-yili-20-pfennig-herzogtum-lauenburg-sehri-notgeld-cil,Used,30 TRY,30 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/39.jpg,,,,
6526,Almanya 1920 Yılı 50 Pfennig Bad Berka Şehri Notgeld Çilaltı,,https://numismat.net/almanya-1920-yili-50-pfennig-bad-berka-sehri-notgeld-cilalti-1,Used,30 TRY,30 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/40.jpg,,,,
6527,Almanya 1921 Yılı 20 Pfennig Blankenese Şehri Notgeld Çil,,https://numismat.net/almanya-1921-yili-20-pfennig-blankenese-sehri-notgeld-cil-1,Used,30 TRY,30 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/41.jpg,,,,
6528,Almanya 1921 Yılı 50 Pfennig Vlotho Şehri Notgeld Çil,,https://numismat.net/almanya-1921-yili-50-pfennig-vlotho-sehri-notgeld-cil,Used,30 TRY,30 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/42.jpg,,,,
6529,Almanya 1921 Yılı 50 Pfennig Heide Şehri Notgeld Çil,,https://numismat.net/almanya-1921-yili-50-pfennig-heide-sehri-notgeld-cil-1,Used,30 TRY,30 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/43.jpg,,,,
